rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ESE,100.0,1.0,2024-04-30,13.0188,-0.7284,0.8265,0.0214,0.4347,0.0,0.0,0.0,0.4,-0.4,Small Cap
2,BEAR,PENG,97.22,0.9722,2024-04-30,37.9246,-6.1847,0.784,-0.1955,2.1804,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
3,BEAR,COCO,91.52,0.9152,2024-04-30,15.7388,-0.0374,0.708,0.0081,0.6065,0.0,0.0,0.0,0.325,-0.325,Small Cap
4,BEAR,NOG,90.7,0.907,2024-04-30,42.4717,0.807,1.0,0.0483,0.5318,0.0,0.0,0.0,0.175,-0.175,Small Cap
5,BEAR,INDV,88.63,0.8863,2024-04-30,25.9723,-4.1148,0.7434,-0.1313,2.0328,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
6,BEAR,AMSF,87.71,0.8771,2024-04-30,29.725,-2.2353,0.9767,-0.0254,0.2252,0.0,0.0,0.0,0.2667,-0.2667,Small Cap
7,BEAR,PECO,87.01,0.8701,2024-04-30,20.8605,-2.1361,0.8542,-0.025,0.3236,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
8,BEAR,WGO,85.52,0.8552,2024-04-30,22.8251,-4.6164,0.7932,-0.0739,0.7829,0.0,0.0,0.0,0.4,-0.4,Small Cap
9,BEAR,DGII,85.5,0.855,2024-04-30,16.6315,-0.4992,0.7677,0.0111,1.1023,0.0,0.0,0.0,0.2333,-0.2333,Small Cap
10,BEAR,MCW,84.19,0.8419,2024-04-30,26.7726,-2.8603,0.6766,-0.0534,0.2858,0.0,0.0,0.0,0.2667,-0.2667,Small Cap
