rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,WTW,76.3,0.763,2024-04-30,33.0161,-3.3234,0.9563,-0.0292,0.2377,0.0,0.0,0.2333,0.0,0.2333,Large Cap
2,BULL,META,75.41,0.7541,2024-04-30,27.1206,-3.2515,0.9247,-0.1325,1.4825,0.0,0.0,0.3333,0.0833,0.25,Large Cap
3,BULL,UBER,73.76,0.7376,2024-04-30,30.1639,-4.0313,0.8964,-0.1124,1.4534,0.0,0.0,0.2917,0.0,0.2917,Large Cap
4,BULL,BBY,73.23,0.7323,2024-04-30,18.7418,-3.3616,0.7797,-0.0294,0.7756,0.0,0.0,0.1167,0.0,0.1167,Large Cap
5,BULL,MTD,73.09,0.7309,2024-04-30,24.5625,-2.8055,0.9414,-0.0317,0.8646,0.0,0.0,0.1667,0.0,0.1667,Large Cap
6,BULL,TRV,70.32,0.7032,2024-04-30,33.112,-3.9445,0.8297,-0.0363,0.1761,0.0,0.0,0.3333,0.1667,0.1667,Large Cap
7,BULL,UAL,68.82,0.6882,2024-04-30,43.8464,4.982,0.8226,0.2043,0.3578,0.0,0.0,0.2167,0.0,0.2167,Large Cap
8,BULL,DE,68.82,0.6882,2024-04-30,23.2994,-1.5993,0.9099,0.0057,0.3519,0.0,0.0,0.325,0.0,0.325,Large Cap
9,BULL,BLDR,68.42,0.6842,2024-04-30,15.9136,-2.4502,0.9347,-0.0512,1.5137,0.0,0.0,0.25,0.0,0.25,Large Cap
10,BULL,URI,68.19,0.6819,2024-04-30,19.2228,-1.0057,1.0,0.0024,1.3567,0.0,0.0,0.25,0.0833,0.1667,Large Cap
