rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,HRB,100.0,1.0,2024-04-30,10.0458,-0.1901,0.6692,0.0516,0.4884,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
2,BULL,FHN,87.66,0.8766,2024-04-30,17.6027,0.3411,0.7866,0.0431,0.1329,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
3,BULL,FLR,85.95,0.8595,2024-04-30,18.706,-1.0834,0.7124,0.0088,1.0286,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
4,BULL,APPF,82.11,0.8211,2024-04-30,21.7447,-0.9303,1.0,-0.0141,1.2742,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
5,BULL,NJR,79.28,0.7928,2024-04-30,14.1657,0.7293,0.8036,0.0007,0.12,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
6,BULL,SCI,78.17,0.7817,2024-04-30,22.2185,-0.6732,0.7909,0.0439,0.3544,0.0,0.0,0.5333,0.0,0.5333,Mid Cap
7,BULL,JLL,77.56,0.7756,2024-04-30,15.2866,-2.0559,0.683,-0.0279,0.954,0.0,0.0,0.25,0.1667,0.0833,Mid Cap
8,BULL,RPM,76.76,0.7676,2024-04-30,30.9172,-4.872,0.8598,-0.0399,0.7304,0.0,0.0,0.2333,0.0,0.2333,Mid Cap
9,BULL,TCBI,74.65,0.7465,2024-04-30,13.4733,-0.7841,0.7157,0.0152,0.2839,0.0,0.0,0.1667,0.0,0.1667,Mid Cap
10,BULL,KRC,73.5,0.735,2024-04-30,11.7947,-0.9029,0.6726,-0.0085,0.938,0.0,0.0,0.25,0.0,0.25,Mid Cap
