rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,BFS,80.68,0.8068,2024-04-30,10.0441,-0.5228,0.8488,0.0078,0.3726,0.0,0.0,0.4167,0.0,0.4167,Small Cap
2,BULL,AGYS,78.14,0.7814,2024-04-30,12.4559,0.4826,0.6106,0.0368,0.8632,0.0,0.0,0.6667,0.0,0.6667,Small Cap
3,BULL,TILE,76.69,0.7669,2024-04-30,18.8355,-2.0768,0.8761,-0.0388,1.4573,0.0,0.0,0.4333,0.0,0.4333,Small Cap
4,BULL,HAFC,76.2,0.762,2024-04-30,14.7141,-0.0444,0.7393,0.0337,0.277,0.0,0.0,0.4167,0.0,0.4167,Small Cap
5,BULL,ANIP,76.16,0.7616,2024-04-30,17.1788,-0.5269,0.5679,0.0291,0.5962,0.0,0.0,0.325,0.0,0.325,Small Cap
6,BULL,SRPT,75.38,0.7538,2024-04-30,23.5264,-0.082,0.7984,0.0373,0.314,0.0,0.0,0.5333,0.0,0.5333,Small Cap
7,BULL,BANC,73.82,0.7382,2024-04-30,12.6502,-1.5101,0.6897,-0.0141,0.678,0.0,0.0,0.1667,0.0,0.1667,Small Cap
8,BULL,CRC,71.63,0.7163,2024-04-30,9.7119,-0.2765,0.675,0.0206,0.5014,0.0,0.0,0.25,0.0833,0.1667,Small Cap
9,BULL,SMP,71.42,0.7142,2024-04-30,17.8032,-1.4849,0.5827,0.0219,-0.1674,0.0,0.0,0.1333,0.0,0.1333,Small Cap
10,BULL,PAHC,69.62,0.6962,2024-04-30,21.2886,4.982,1.0,0.2043,0.7301,0.0,0.0,0.6667,0.0,0.6667,Small Cap
