rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,FHN,3.33,0.0333,2024-03-01,18.9192,0.3883,0.7754,-0.0057,0.7452,1.0,0.0,0.8,0.0333,0.8,79.31,123.92,163.26
2,BULL,FCF,3.33,0.0333,2024-03-01,19.8912,-1.32,0.7996,-0.0504,0.9866,1.0,0.0,0.2917,0.0,0.2917,43.44,64.76,83.94
3,BULL,BOH,3.33,0.0333,2024-03-01,26.4021,-0.7789,0.7546,-0.039,1.1859,1.0,0.0,0.4167,0.0,0.4167,39.62,58.69,75.53
4,BULL,VNO,3.33,0.0333,2024-03-01,16.1889,-0.1927,0.7066,-0.0056,1.3708,1.0,0.0,0.325,0.0,0.325,36.82,54.43,69.66
5,BULL,CVBF,3.33,0.0333,2024-03-01,19.482,0.6444,0.7733,0.0066,1.4807,1.0,0.0,0.175,0.0,0.175,32.09,47.34,60.16
6,BULL,STAA,3.33,0.0333,2024-03-01,24.4579,2.9183,0.8955,0.1214,1.6923,1.0,0.0,0.4167,0.0,0.4167,31.38,46.32,58.79
7,BULL,DT,3.33,0.0333,2024-03-01,30.9341,-4.8338,0.7308,-0.2046,1.2353,1.0,0.0,0.1,0.2667,-0.1667,29.55,43.64,55.21
8,BULL,WABC,3.33,0.0333,2024-03-01,31.4716,-0.3895,0.7192,-0.0261,0.5487,1.0,0.0,0.25,0.0833,0.1667,28.09,41.42,52.26
9,BULL,CCK,3.33,0.0333,2024-03-01,40.5354,-4.8338,0.7192,-0.1976,0.7373,1.0,0.0,0.1667,0.0,0.1667,27.65,40.77,51.42
10,BULL,PRVA,3.33,0.0333,2024-03-01,19.0791,1.8159,0.8535,0.056,1.3544,1.0,0.0,0.2167,0.0,0.2167,27.23,40.14,50.61
11,BULL,SMP,3.33,0.0333,2024-03-01,38.3639,-4.8338,0.9584,-0.2338,-0.1256,1.0,0.0,0.1333,0.1333,0.0,26.11,38.43,48.48
12,BULL,LFST,3.33,0.0333,2024-03-01,26.3128,4.5976,1.0,0.2948,0.5603,1.0,0.0,0.2667,0.0,0.2667,24.55,36.07,45.51
