rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,TILE,3.33,0.0333,2024-04-30,18.8355,-2.0768,0.8761,-0.0388,1.4573,0.0,0.0,0.4333,0.0,0.4333
2,BULL,HAFC,3.33,0.0333,2024-04-30,14.7141,-0.0444,0.7393,0.0337,0.277,0.0,0.0,0.4167,0.0,0.4167
3,BULL,META,3.33,0.0333,2024-04-30,27.1206,-3.2515,0.9247,-0.1325,1.4825,0.0,0.0,0.3333,0.0833,0.25
4,BULL,SRPT,3.33,0.0333,2024-04-30,23.5264,-0.082,0.7984,0.0373,0.314,0.0,0.0,0.5333,0.0,0.5333
5,BULL,UBER,3.33,0.0333,2024-04-30,30.1639,-4.0313,0.8964,-0.1124,1.4534,0.0,0.0,0.2917,0.0,0.2917
6,BULL,KRC,3.33,0.0333,2024-04-30,11.7947,-0.9029,0.6726,-0.0085,0.938,0.0,0.0,0.25,0.0,0.25
7,BULL,MTD,3.33,0.0333,2024-04-30,24.5625,-2.8055,0.9414,-0.0317,0.8646,0.0,0.0,0.1667,0.0,0.1667
8,BULL,SMP,3.33,0.0333,2024-04-30,17.8032,-1.4849,0.5827,0.0219,-0.1674,0.0,0.0,0.1333,0.0,0.1333
9,BULL,WBS,3.33,0.0333,2024-04-30,15.6082,-3.6305,0.729,-0.0656,0.2311,0.0,0.0,0.175,0.0,0.175
10,BULL,UVV,3.33,0.0333,2024-04-30,13.9135,1.3593,0.697,0.0391,0.0302,0.0,0.0,0.4333,0.0,0.4333
11,BULL,ALGM,3.33,0.0333,2024-04-30,17.2881,4.337,0.7957,0.1698,1.521,0.0,0.0,0.2167,0.175,0.0417
12,BULL,LZ,3.33,0.0333,2024-04-30,25.1319,-3.6799,0.7547,-0.0756,1.1607,0.0,0.0,0.25,0.0833,0.1667
13,BULL,NSA,3.33,0.0333,2024-04-30,13.9945,-2.5376,0.7916,-0.0447,0.6728,0.0,0.0,0.175,0.0,0.175
14,BULL,PDD,3.33,0.0333,2024-04-30,17.4627,1.5446,0.6784,0.1575,1.347,0.0,0.0,0.5417,0.0,0.5417
15,BULL,RNST,3.33,0.0333,2024-04-30,14.4036,-1.5465,0.7616,-0.0117,0.2815,0.0,0.0,0.175,0.0,0.175
16,BULL,FCF,3.33,0.0333,2024-04-30,18.876,-0.8907,0.776,0.0125,0.2954,0.0,0.0,0.2917,0.0,0.2917
17,BULL,TDS,3.33,0.0333,2024-04-30,9.7137,-0.4601,0.5055,-0.0038,1.0929,0.0,0.0,0.3333,0.0,0.3333
18,BULL,MLKN,3.33,0.0333,2024-04-30,26.1438,-0.6126,0.6669,0.016,0.7172,0.0,0.0,0.2333,0.0,0.2333
19,BULL,AZTA,3.33,0.0333,2024-04-30,27.9963,-4.0065,0.7143,-0.0745,0.9243,0.0,0.0,0.0333,0.2667,-0.2333
20,BULL,ELF,3.33,0.0333,2024-04-30,16.2505,-2.3223,0.9292,-0.1251,1.8967,0.0,0.0,0.1667,0.0833,0.0833
21,BULL,WD,3.33,0.0333,2024-04-30,17.1688,-1.3845,0.7796,-0.0058,1.0156,0.0,0.0,0.175,0.0,0.175
22,BULL,RRR,3.33,0.0333,2024-04-30,19.1316,-4.1934,0.9746,-0.0911,0.8616,0.0,0.0,0.5833,0.1667,0.4167
23,BULL,AMGN,3.33,0.0333,2024-04-30,16.1373,-0.4174,0.7333,0.0317,0.321,0.0,0.0,0.3333,0.1667,0.1667
24,BULL,DFH,3.33,0.0333,2024-04-30,17.3886,-3.0748,0.8306,-0.1047,2.1802,0.0,0.0,0.25,0.0,0.25
25,BULL,NWL,3.33,0.0333,2024-04-30,18.4567,1.0659,0.7404,0.0993,0.535,0.0,0.0,0.1083,0.4083,-0.3
26,BULL,IRDM,3.33,0.0333,2024-04-30,36.8372,4.982,0.7533,0.2043,0.6753,0.0,0.0,0.1667,0.25,-0.0833
27,BULL,ALK,3.33,0.0333,2024-04-30,25.2651,0.7242,0.9446,0.06,0.49,0.0,0.0,0.2167,0.0,0.2167
28,BULL,STAA,3.33,0.0333,2024-04-30,33.3615,3.3827,0.8016,0.1902,0.8313,0.0,0.0,0.5417,0.0,0.5417
29,BULL,WWW,3.33,0.0333,2024-04-30,19.8674,0.9275,0.7989,0.0916,1.3814,0.0,0.0,0.4,0.0,0.4
30,BULL,OGS,3.33,0.0333,2024-04-30,12.2079,0.5179,0.747,-0.0026,0.3006,0.0,0.0,0.4333,0.0,0.4333
1,BEAR,PENG,3.33,0.9722,2024-04-30,37.9246,-6.1847,0.784,-0.1955,2.1804,0.0,0.0,0.0,0.5333,-0.5333
2,BEAR,OLED,3.33,0.9423,2024-04-30,16.6009,-1.5478,0.6973,-0.0157,1.1245,0.0,0.0,0.1,0.2667,-0.1667
3,BEAR,COCO,3.33,0.9152,2024-04-30,15.7388,-0.0374,0.708,0.0081,0.6065,0.0,0.0,0.0,0.325,-0.325
4,BEAR,EPR,3.33,0.9125,2024-04-30,9.7119,-0.0862,0.7446,0.0164,0.462,0.0,0.0,0.0,0.5333,-0.5333
5,BEAR,NUE,3.33,0.8871,2024-04-30,29.72,-5.4373,0.9535,-0.1183,0.2983,0.0,0.0,0.175,0.2167,-0.0417
6,BEAR,INDV,3.33,0.8863,2024-04-30,25.9723,-4.1148,0.7434,-0.1313,2.0328,0.0,0.0,0.0,0.5333,-0.5333
7,BEAR,GEF,3.33,0.8795,2024-04-30,28.6594,-5.6326,0.8227,-0.0667,0.5018,0.0,0.0,0.0,0.2667,-0.2667
8,BEAR,AMSF,3.33,0.8771,2024-04-30,29.725,-2.2353,0.9767,-0.0254,0.2252,0.0,0.0,0.0,0.2667,-0.2667
9,BEAR,ZBH,3.33,0.8733,2024-04-30,17.6356,-3.6912,0.7456,-0.0259,0.4855,0.0,0.0,0.0,0.2667,-0.2667
